Index,Date,Open,High,Low,Close,Volume
1000104,2000-01-04,0.18,0.20,0.18,0.19,12196150
1000105,2000-01-05,0.19,0.20,0.18,0.19,7884952
1000106,2000-01-06,0.19,0.21,0.19,0.21,21516770
1000107,2000-01-07,0.21,0.22,0.21,0.22,11508167
1000111,2000-01-11,0.22,0.23,0.20,0.22,28047090
1000112,2000-01-12,0.22,0.23,0.22,0.22,16051577
1000113,2000-01-13,0.22,0.23,0.22,0.23,15885289
1000114,2000-01-14,0.23,0.24,0.23,0.23,15870439
1000117,2000-01-17,0.23,0.25,0.22,0.22,18546822
1000118,2000-01-18,0.22,0.23,0.22,0.23,8516465
1000119,2000-01-19,0.23,0.24,0.22,0.22,13050287
1000120,2000-01-20,0.22,0.22,0.20,0.20,4693894
1000121,2000-01-21,0.20,0.22,0.19,0.19,6937025
1000124,2000-01-24,0.19,0.20,0.17,0.20,6542582
1000125,2000-01-25,0.20,0.22,0.19,0.22,9313047
1000126,2000-01-26,0.22,0.23,0.21,0.22,8949497
1000127,2000-01-27,0.22,0.23,0.22,0.22,10198651
1000128,2000-01-28,0.22,0.23,0.21,0.22,5605337
1000131,2000-01-31,0.22,0.23,0.19,0.20,7832579
1000201,2000-02-01,0.20,0.20,0.18,0.19,12648638
1000202,2000-02-02,0.19,0.20,0.19,0.19,10400710
1000203,2000-02-03,0.19,0.20,0.19,0.20,6414185
1000204,2000-02-04,0.20,0.21,0.19,0.21,7177459
1000207,2000-02-07,0.21,0.23,0.21,0.21,7943089
1000208,2000-02-08,0.21,0.22,0.20,0.21,4002937
1000209,2000-02-09,0.21,0.21,0.20,0.20,2292311
1000210,2000-02-10,0.20,0.21,0.20,0.21,4909158
1000211,2000-02-11,0.21,0.22,0.20,0.20,3923201
1000214,2000-02-14,0.20,0.20,0.19,0.20,1836227
1000215,2000-02-15,0.20,0.21,0.20,0.20,2823106
1000216,2000-02-16,0.20,0.21,0.20,0.20,2180034
1000217,2000-02-17,0.20,0.22,0.19,0.20,7219647
1000218,2000-02-18,0.20,0.20,0.19,0.20,6284440
1000221,2000-02-21,0.20,0.20,0.19,0.19,3179757
1000222,2000-02-22,0.19,0.20,0.18,0.18,2815669
1000223,2000-02-23,0.18,0.19,0.17,0.17,3174317
1000224,2000-02-24,0.17,0.19,0.17,0.19,9428734
1000225,2000-02-25,0.19,0.20,0.19,0.20,11471508
1000228,2000-02-28,0.20,0.21,0.19,0.20,5979528
1000229,2000-02-29,0.20,0.20,0.19,0.20,7820409
1000301,2000-03-01,0.21,0.22,0.21,0.22,15572343
1000302,2000-03-02,0.22,0.22,0.21,0.21,3813812
1000303,2000-03-03,0.21,0.22,0.20,0.21,3025873
1000306,2000-03-06,0.20,0.20,0.20,0.20,1873363
1000307,2000-03-07,0.20,0.21,0.20,0.21,5924054
1000308,2000-03-08,0.21,0.22,0.21,0.22,8134775
1000309,2000-03-09,0.22,0.24,0.22,0.24,18924796
1000310,2000-03-10,0.24,0.25,0.23,0.25,28591556
1000320,2000-03-20,0.25,0.25,0.24,0.24,10548588
1000321,2000-03-21,0.24,0.24,0.24,0.24,5785836
1000322,2000-03-22,0.24,0.25,0.23,0.23,7742031
1000323,2000-03-23,0.23,0.24,0.22,0.24,10885897
1000324,2000-03-24,0.24,0.24,0.23,0.23,3195122
1000327,2000-03-27,0.23,0.24,0.23,0.24,3205119
1000328,2000-03-28,0.24,0.24,0.23,0.24,6790620
1000329,2000-03-29,0.24,0.24,0.23,0.24,2617302
1000330,2000-03-30,0.23,0.23,0.20,0.23,10404655
1000331,2000-03-31,0.23,0.23,0.22,0.23,5019118
1000403,2000-04-03,0.23,0.23,0.22,0.23,2569048
1000404,2000-04-04,0.23,0.24,0.22,0.23,4997232
1000405,2000-04-05,0.23,0.23,0.20,0.22,4417306
1000406,2000-04-06,0.22,0.24,0.20,0.23,6683089
1000407,2000-04-07,0.23,0.24,0.23,0.24,5890128
1000410,2000-04-10,0.24,0.26,0.24,0.24,22778862
1000411,2000-04-11,0.25,0.27,0.25,0.25,20262212
1000412,2000-04-12,0.25,0.26,0.24,0.25,7651054
1000413,2000-04-13,0.26,0.27,0.26,0.27,21923052
1000414,2000-04-14,0.27,0.30,0.27,0.30,37257580
1000417,2000-04-17,0.30,0.30,0.27,0.29,14706663
1000418,2000-04-18,0.29,0.30,0.27,0.28,9271909
1000419,2000-04-19,0.28,0.29,0.27,0.28,4627079
1000420,2000-04-20,0.28,0.29,0.27,0.28,4138154
1000421,2000-04-21,0.28,0.29,0.28,0.28,1415051
1000424,2000-04-24,0.28,0.32,0.28,0.32,32554852
1000425,2000-04-25,0.32,0.33,0.31,0.33,11143337
1000426,2000-04-26,0.33,0.34,0.33,0.33,13911021
1000427,2000-04-27,0.33,0.33,0.32,0.32,5658656
1000428,2000-04-28,0.33,0.34,0.33,0.34,9217760
1000501,2000-05-01,0.34,0.34,0.33,0.33,9102734
1000502,2000-05-02,0.33,0.34,0.32,0.33,6078875
1000503,2000-05-03,0.33,0.33,0.31,0.31,2792620
1000504,2000-05-04,0.31,0.31,0.29,0.29,3898468
1000505,2000-05-05,0.29,0.30,0.27,0.30,6699223
1000508,2000-05-08,0.30,0.31,0.29,0.29,2474415
